Group,Control,Treatment,Timepoint,Tissue
RedOakFlame_24h_Heart,Saline_24h_Heart,RedOakFlame,24h,Heart
PeatFlame_24h_Heart,Saline_24h_Heart,PeatFlame,24h,Heart
RedOakSmolder_24h_Heart,Saline_24h_Heart,RedOakSmolder,24h,Heart
PeatSmolder_24h_Heart,Saline_24h_Heart,PeatSmolder,24h,Heart
RedOakSmolder_4h_Lung,Saline_4h_Lung,RedOakSmolder,4h,Lung
PeatSmolder_4h_Lung,Saline_4h_Lung,PeatSmolder,4h,Lung
PineNeedlesSmolder_4h_Lung,Saline_4h_Lung,PineNeedlesSmolder,4h,Lung
PineSmolder_4h_Lung,Saline_4h_Lung,PineSmolder,4h,Lung
EucalyptusSmolder_4h_Lung,Saline_4h_Lung,EucalyptusSmolder,4h,Lung
RedOakFlame_4h_Lung,Saline_4h_Lung,RedOakFlame,4h,Lung
PeatFlame_4h_Lung,Saline_4h_Lung,PeatFlame,4h,Lung
PineNeedlesFlame_4h_Lung,Saline_4h_Lung,PineNeedlesFlame,4h,Lung
PineFlame_4h_Lung,Saline_4h_Lung,PineFlame,4h,Lung
EucalyptusFlame_4h_Lung,Saline_4h_Lung,EucalyptusFlame,4h,Lung
LPS_4h_Lung,Saline_4h_Lung,LPS,4h,Lung
RedOakSmolder_24h_Lung,Saline_24h_Lung,RedOakSmolder,24h,Lung
PeatSmolder_24h_Lung,Saline_24h_Lung,PeatSmolder,24h,Lung
PineNeedlesSmolder_24h_Lung,Saline_24h_Lung,PineNeedlesSmolder,24h,Lung
PineSmolder_24h_Lung,Saline_24h_Lung,PineSmolder,24h,Lung
EucalyptusSmolder_24h_Lung,Saline_24h_Lung,EucalyptusSmolder,24h,Lung
RedOakFlame_24h_Lung,Saline_24h_Lung,RedOakFlame,24h,Lung
PeatFlame_24h_Lung,Saline_24h_Lung,PeatFlame,24h,Lung
PineNeedlesFlame_24h_Lung,Saline_24h_Lung,PineNeedlesFlame,24h,Lung
PineFlame_24h_Lung,Saline_24h_Lung,PineFlame,24h,Lung
EucalyptusFlame_24h_Lung,Saline_24h_Lung,EucalyptusFlame,24h,Lung
LPS_24h_Lung,Saline_24h_Lung,LPS,24h,Lung