"","miRNA","110_RNA-m110_ROF_24H_PLASMA_CTCAGA_S44_L004","115_RNA-m115_PF_24H_PLASMA_TCATTC_S49_L004","113_RNA-m113_PF_24H_PLASMA_TACAGC_S47_L004","81_RNA-m81_PS_24H_PLASMA_GGTAGC_S57_L004","106_RNA-m106_Sal_24H_PLASMA_CCAACA_S40_L004","105_RNA-m105_Sal_24H_PLASMA_CATTTT_S39_L004","74_RNA-m74_ROS_24H_PLASMA_GTGGCC_S53_L004","109_RNA-m109_ROF_24H_PLASMA_CTATAC_S43_L004","82_RNA-m82_PS_24H_PLASMA_CAGGCG_S58_L004","75_RNA-m75_ROS_24H_PLASMA_GTTTCG_S54_L004","112_RNA-m112_ROF_24H_PLASMA_TAATCG_S46_L004","111_RNA-m111_ROF_24H_PLASMA_GACGAC_S45_L004","118_RNA-m118_PF_24H_PLASMA_TCGGCA_S52_L004","76_RNA-m76_ROS_24H_PLASMA_CGTACG_S55_L004","80_RNA-m80_PS_24H_PLASMA_GAGTGG_S56_L004","107_RNA-m107_ROF_24H_PLASMA_CGGAAT_S41_L004","104_RNA-m104_Sal_24H_PLASMA_CATGGC_S38_L004","114_RNA-m114_PF_24H_PLASMA_TATAAT_S48_L004","116_RNA-m116_PF_24H_PLASMA_TCCCGA_S50_L004","108_RNA-m108_ROF_24H_PLASMA_CTAGCT_S42_L004","117_RNA-m117_PF_24H_PLASMA_TCGAAG_S51_L004","PEAT_SM1-24hr_mouse_plasma_CAAAAG_S4_L002","PEAT_SM2-24hr_mouse_plasma_CAACTA_S5_L002","SALINE_SM2-24hr_mouse_plasma_CACTCA_S11_L002","PEAT_SM3-24hr_mouse_plasma_CACCGG_S6_L002","SALINE_SM3-24hr_mouse_plasma_CAGGCG_S12_L002","RED_OAK_SM2-24hr_mouse_plasma_ATGAGC_S8_L002","SALINE_SM1-24hr_mouse_plasma_CACGAT_S10_L002","RED_OAK_SM1-24hr_mouse_plasma_ACTGAT_S7_L002","RED_OAK_SM3-24hr_mouse_plasma_ATTCCT_S9_L002"
"1","mmu-let-7a-1_mature",10,1,5,4087,2209,34576,1465,13,13597,225,596,487,1312,37,248,1539,1318,5,448,399,1392,6419,13983,4991,4226,1952,2850,704,3288,7258
"2","mmu-let-7a-2_mature",3,4,4,4295,2309,33188,1244,9,13624,222,453,462,1319,30,253,1537,1308,5,338,434,1399,6325,13532,4948,4446,2060,1,745,3292,1
"3","mmu-let-7b_mature",288,221,531,12161,4655,60657,2403,631,18575,601,1783,5,697,330,7,465,2685,742,755,626,1452,8275,2,117,119,2422,3752,1046,9209,2
"4","mmu-let-7c-1_mature",237,9,1,7423,2973,56813,701,11,7773,953,248,7,249,463,1320,1021,1585,8,182,544,7,7317,16848,4544,4964,2233,2388,703,4359,6474
"5","mmu-let-7c-2_mature",266,6,8,7438,2931,56960,755,15,7758,957,245,9,216,487,1378,1002,1627,7,198,562,15,7470,17142,4393,4979,2125,2402,707,4203,6275
"6","mmu-let-7d_mature",423,3,2,1124,869,14923,487,5,3633,365,1,1,2,3,3,413,999,1,159,11,5,4923,16480,7594,3285,2764,4300,498,6105,5626
"7","mmu-let-7e_mature",0,0,0,914,121,67,0,0,690,1,0,0,0,0,336,0,1,0,75,3,0,13,17,163,205,9,500,9,1,589
"8","mmu-let-7f-1_mature",201,748,1098,3970,2875,32780,1862,623,14120,241,1238,467,10,138,150,635,2016,244,377,151,5,6460,12455,4397,4552,2562,2836,1200,4770,5437
"9","mmu-let-7f-2_mature",178,732,1126,3888,2873,39022,1825,573,15193,278,1172,480,13,135,120,637,1997,265,327,151,7,6663,12220,4548,4934,2603,2768,1392,4764,5694
"10","mmu-let-7g_mature",1665,10,8,17324,9238,86327,1805,2101,31205,2153,1305,1043,1547,487,429,1343,6576,409,1094,982,1726,30474,79938,23858,11852,7471,13694,3755,18743,27149
"11","mmu-let-7i_mature",270,2,445,5933,5258,8401,2024,1121,9082,613,88,230,1075,4,0,282,2333,484,363,592,1269,7376,23498,8807,1620,1280,3789,85,5405,6675
"12","mmu-mir-100_mature",0,1,0,1,0,2455,130,0,592,199,0,113,0,1,0,433,0,0,0,4,0,1656,3383,842,2066,832,673,329,853,889
"13","mmu-mir-101a_mature",1,0,2,440,1840,5667,585,1,2123,943,2,193,336,0,1,474,281,1,63,126,0,4589,10466,4958,3258,966,2252,663,3563,4427
"14","mmu-mir-101b_mature",0,0,0,197,1679,11645,537,0,1921,4,2,1,365,2,3,2,375,0,59,152,7,11096,8147,5409,1840,1509,2068,1079,4027,4645
"15","mmu-mir-106b_mature",1,1,1,149,249,1721,338,1,957,1,0,466,160,0,1,2,491,1,42,3,1,4368,6690,1812,1082,316,706,151,946,1793
"16","mmu-mir-10a_mature",6,3,0,228,3296,63,997,569,5409,1,2,6,334,124,646,856,3998,3,114,22,1,7757,22514,67,4207,2365,4293,1158,6684,7292
"17","mmu-mir-10b_mature",1,1,0,3206,2535,6481,249,3,3131,475,494,1,180,1,324,698,1485,0,342,822,3,5407,8701,2715,3882,2317,138,692,1,9878
"18","mmu-mir-1198_mature",0,0,1,471,242,723,0,0,89,0,0,0,0,0,0,0,1,0,0,0,0,27,482,370,79,0,105,0,94,348
"19","mmu-mir-122_mature",3922,2,1,2,117,7571,2,3,32505,2,2,179,173,7649,1,565,4326,1,1,10,3,2042,298,1,200,466,183,923,4855,301
"20","mmu-mir-1249_mature",0,0,0,0,0,52,0,1,205,0,0,1,1,0,0,0,0,0,30,223,0,0,429,0,465,72,56,49,0,19
"21","mmu-mir-125a_mature",5,4,256,1183,1807,24594,272,9,5338,1287,3,2,2,4,2,232,485,4,102,437,3,2,311,1945,1,598,1940,478,1873,1
"22","mmu-mir-125b-1_mature",2,1,2,470,351,114,297,5,1480,366,725,1,122,1,1,187,488,0,57,5,1,1652,5382,2366,3011,1017,916,81,1,1
"23","mmu-mir-125b-2_mature",3,1,1,445,346,11099,286,1,1481,427,723,2,116,1,3,193,479,0,53,10,0,1690,5420,86,3066,985,950,893,839,1636
"24","mmu-mir-126a_mature",417,0,0,2,279,2497,564,1,185,72,2,1,1,0,0,1,207,1,1,2,0,101,11,141,2,5,151,8,119,194
"25","mmu-mir-128-1_mature",189,2,568,4058,5134,1443,167,4,2604,370,169,283,567,0,0,312,3409,1,595,1078,171,4531,7741,3467,807,1242,5286,412,6006,11209
"26","mmu-mir-128-2_mature",119,0,465,2291,2751,890,177,1,1761,366,164,266,263,1,2,344,2402,2,437,171,177,2497,4694,2222,514,991,3156,222,3915,5113
"27","mmu-mir-1306_mature",0,0,0,254,650,81,0,1,332,1,1,0,0,0,0,0,655,0,82,0,0,1124,1684,882,132,209,318,1,94,1162
"28","mmu-mir-130b_mature",0,0,0,0,79,221,0,0,273,0,0,0,0,0,0,0,1,0,0,0,0,242,2,4,2,1,47,1,241,49
"29","mmu-mir-133a-1_mature",0,0,0,0,1,2328,0,0,599,0,1,0,0,0,0,12,1,0,1,1,1,254,135,155,788,0,45,77,0,606
"30","mmu-mir-133a-2_mature",0,0,0,0,2,2409,0,1,612,0,0,0,0,0,0,7,0,1,0,2,1,298,130,131,751,1,39,115,0,656
"31","mmu-mir-139_mature",0,0,0,0,337,2144,273,0,159,312,0,1,0,0,0,0,0,0,1,2,0,1051,1218,44,43,2,75,42,216,248
"32","mmu-mir-140_mature",1,1,0,1455,731,8446,250,5,144,4,1,227,1,1,1,199,1416,1,359,8,2,6729,319,7281,1692,3063,36,1249,3835,21
"33","mmu-mir-142a_mature",265,607,5,1,127,6073,342,641,1942,470,1173,374,2,3,83,222,1153,308,505,742,0,8460,22746,6721,170,2559,279,396,180,7132
"34","mmu-mir-143_mature",438,2,2,822,2251,17744,227,1009,1674,352,467,1,565,347,5,5,21,0,68,12,229,5515,4424,1260,1914,1747,2062,658,999,4674
"35","mmu-mir-144_mature",191,1,0,1120,500,256,174,1,153,1,1006,1,324,2,1,819,511,0,224,575,1,1396,983,793,407,146,498,152,510,384
"36","mmu-mir-145a_mature",0,0,0,1,0,1459,0,0,477,1,0,0,1,0,1,0,2,0,0,1,2,115,382,1,71,0,1,170,0,165
"37","mmu-mir-146a_mature",0,2,0,372,108,3285,131,2,1156,90,0,0,0,3,0,835,275,0,179,5,0,828,4234,875,444,662,1282,0,417,2214
"38","mmu-mir-146b_mature",0,0,0,183,0,1383,0,0,184,0,0,0,1,292,0,1,0,0,50,2,0,674,511,269,57,277,335,2,299,516
"39","mmu-mir-148a_mature",1,355,2,547,3353,248,2,9,1906,260,229,2,281,182,1,4,2116,0,7,1232,922,14027,7184,5005,90,894,3510,285,5457,3273
"40","mmu-mir-148b_mature",0,0,2,859,170,146,192,1,548,0,0,0,494,1,0,2,671,1,1,329,1,1329,2357,1369,526,348,481,67,755,1084
"41","mmu-mir-150_mature",1,0,2,1971,1085,4718,1,3,3504,213,1,0,1,1,4,2,218,1,165,6,0,1552,6637,925,1047,672,2035,721,2155,1967
"42","mmu-mir-151_mature",1,0,0,1,5,579,0,0,345,0,0,1,0,0,1,502,360,0,23,1,0,480,401,122,262,1177,534,9,684,264
"43","mmu-mir-152_mature",0,1,0,201,0,570,0,0,60,0,0,0,0,0,0,1,0,0,1,0,0,258,196,190,2,0,602,0,167,140
"44","mmu-mir-15a_mature",0,0,0,629,0,130,235,268,105,0,0,0,0,0,0,0,1,0,0,0,0,1102,1651,986,284,246,117,128,414,1085
"45","mmu-mir-15b_mature",1,0,1,1,67,1,323,2,82,350,3,123,2,1,0,1,1598,2,98,4,1,256,5,53,155,1922,567,302,195,208
"46","mmu-mir-16-1_mature",1,98,199,2272,690,143,233,2,3747,378,234,165,435,4,250,53,653,2,138,7,992,124,26753,12317,4039,2472,2939,1134,7050,5966
"47","mmu-mir-16-2_mature",2,83,195,1667,678,296,244,1,3819,375,241,163,432,1,265,50,433,1,121,4,1029,9204,374,141,3880,2596,147,1101,6825,5943
"48","mmu-mir-17_mature",0,0,0,0,257,665,130,0,1,0,0,0,0,0,0,0,1,0,31,2,0,1,345,825,497,1,330,2,781,643
"49","mmu-mir-181a-1_mature",104,148,1,598,43,1191,138,1,610,286,590,105,136,1,207,278,1,1,14,2,1,459,171,1,197,237,449,51,1014,563
"50","mmu-mir-181a-2_mature",108,160,1,650,35,194,148,2,606,279,593,101,145,0,213,314,2,0,11,1,0,473,178,428,182,226,477,41,1016,556
"51","mmu-mir-181b-1_mature",0,0,0,0,59,339,0,0,82,115,0,0,0,0,0,0,121,0,0,0,0,104,2,102,25,0,104,85,106,20
"52","mmu-mir-181b-2_mature",0,0,0,0,42,526,0,0,87,101,0,0,0,0,0,0,107,0,0,0,0,107,3,127,33,2,92,86,85,199
"53","mmu-mir-182_mature",0,2,705,570,98,698,0,1,111,0,0,1,0,0,0,1,1,0,29,0,1,185,627,82,55,229,213,0,191,446
"54","mmu-mir-183_mature",0,0,0,0,0,0,0,0,0,99,0,186,0,0,0,0,0,0,24,0,0,1,372,140,281,44,0,6,481,56
"55","mmu-mir-1839_mature",1,1,0,200,237,820,246,0,1330,0,1,614,1176,1,359,288,682,0,53,1,3,2851,6448,132,88,426,741,349,1969,984
"56","mmu-mir-185_mature",2,0,0,761,817,1394,0,0,831,3,1,1,1,0,2,294,1805,1,111,1,0,1032,3981,1541,647,1111,1223,383,1239,2381
"57","mmu-mir-186_mature",1,0,0,1114,995,5429,384,3,2215,220,1,1,490,1,1,0,270,1,205,5,1,5397,18954,5965,2827,1854,2179,1007,3092,5930
"58","mmu-mir-18a_mature",0,0,0,0,225,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,2,234,82,130,1,367,2,369,27
"59","mmu-mir-191_mature",681,1144,726,15287,9968,40114,1071,1931,15690,867,4133,819,1358,86,1254,2698,13866,8,4847,1695,901,35270,94662,23,18160,12273,78,3845,33852,43834
"60","mmu-mir-192_mature",3,1,1,765,1915,23990,241,3,920,377,7,1278,2,219,3,276,670,2,269,344,4,10048,6865,2436,1115,1847,1304,4,2416,2777
"61","mmu-mir-194-1_mature",133,0,1,1,75,2528,0,0,152,1,0,0,1,0,0,0,0,0,1,1,0,501,650,285,150,68,113,0,16,103
"62","mmu-mir-194-2_mature",143,0,0,1,2,296,1,1,148,0,0,1,0,1,1,1,1,1,4,5,0,786,987,386,317,76,135,0,134,209
"63","mmu-mir-19a_mature",1,0,0,1134,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,368,27,242,0,173,1,308,155
"64","mmu-mir-19b-1_mature",0,0,0,0,0,63,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,68,116,82,124,0,124,1,134,66
"65","mmu-mir-19b-2_mature",0,0,0,0,0,53,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,84,126,90,123,0,122,0,113,58
"66","mmu-mir-1a-1_mature",228,395,1,2954,423,14062,546,322,5061,730,7,237,795,102,3,2347,5,5,89,236,585,4779,6658,1995,7111,2662,423,961,1013,10527
"67","mmu-mir-1a-2_mature",211,394,3,3027,434,14134,539,338,5271,781,8,261,850,92,3,2467,7,3,90,225,580,4782,6800,2015,7072,2742,406,920,1108,10511
"68","mmu-mir-200b_mature",1,0,1,0,0,232,0,0,0,0,0,0,0,0,2,0,1,0,0,4,2,306,613,0,44,0,27,76,650,160
"69","mmu-mir-200c_mature",1,0,0,1,2,351,0,1,169,0,562,0,0,0,795,306,1,0,23,0,0,3,159,95,69,113,37,1,2,26
"70","mmu-mir-202_mature",0,0,0,476,0,0,1,0,67,0,2,0,1,0,0,0,0,0,0,0,0,1,0,56,0,0,140,2,171,208
"71","mmu-mir-203_mature",1801,281,619,687,515,2720,949,416,1301,1691,704,2148,1134,1823,200,765,1214,345,420,1027,295,159,1061,373,309,433,408,194,1400,1044
"72","mmu-mir-205_mature",1,0,0,521,175,2,0,0,0,0,0,0,1,20,0,226,820,0,0,0,0,1,603,203,155,147,534,0,153,290
"73","mmu-mir-20a_mature",0,0,0,154,481,112,0,2,138,0,0,0,0,0,0,0,0,0,1,1,0,1565,4179,3465,851,132,2040,52,1480,2500
"74","mmu-mir-214_mature",0,0,0,0,0,159,78,0,180,0,0,0,0,0,0,0,0,0,0,0,1,221,848,212,0,12,387,0,406,746
"75","mmu-mir-215_mature",1,1,2,135,169,1685,496,0,88,1,1,1,0,1,294,701,2199,0,431,4,0,5065,10586,135,110,888,171,92,525,1
"76","mmu-mir-21a_mature",547,573,1969,24307,24253,63959,2247,2901,16481,4282,4463,1086,947,387,409,3778,22824,766,1953,1120,877,46889,91012,33509,12895,17430,47609,5436,47926,59683
"77","mmu-mir-22_mature",243,2,141,1881,979,1151,262,6,104,107,215,1,41,250,1,379,1,1,194,1,3,2,158,2243,101,1,68,228,2523,1
"78","mmu-mir-221_mature",0,0,0,0,0,836,0,0,384,1,0,0,0,0,0,0,0,0,0,0,0,4,1,332,1,32,1,1,112,894
"79","mmu-mir-222_mature",0,1,0,0,0,881,0,0,0,0,0,0,1,0,0,295,0,0,0,1,0,371,32,95,15,19,79,21,1,32
"80","mmu-mir-223_mature",1,0,277,1137,102,121,142,1,185,1,0,0,0,595,0,0,809,0,109,6,1,428,11,67,69,340,1091,2,2377,178
"81","mmu-mir-224_mature",0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,35,0,0,457,2,78,79,0,2,0,169,335
"82","mmu-mir-23a_mature",210,559,238,10107,0,0,2509,0,0,0,0,0,0,197,0,0,0,377,0,1346,1242,0,0,0,156,89,0,3352,0,0
"83","mmu-mir-24-1_mature",4,0,210,493,306,3029,0,120,108,171,731,174,2,0,0,1,788,1,39,2,2,1694,4516,1735,808,516,2204,588,1517,2541
"84","mmu-mir-24-2_mature",1,0,1,505,340,789,270,117,148,185,755,217,0,2,1,1,408,1,1,0,1,524,1552,872,419,157,686,643,118,728
"85","mmu-mir-25_mature",1,0,3,838,2466,415,629,3,7810,797,2,4,5,3,4,1084,1,2,131,567,2,195,13546,7677,1700,751,1,789,4103,4110
"86","mmu-mir-26a-1_mature",49,291,118,1210,714,27673,6,103,2221,153,591,283,340,548,213,18,3122,124,300,643,6,3352,4623,1359,1986,1345,2521,803,2071,2997
"87","mmu-mir-26a-2_mature",56,271,138,1143,718,27433,5,92,2209,161,603,297,350,308,199,27,3149,134,275,610,1,3002,4654,1361,2140,1332,2479,762,2137,2923
"88","mmu-mir-26b_mature",3,0,4,645,715,13034,2,605,1911,0,151,4,261,2,1,517,1098,2,60,758,2,2415,5267,3254,2173,901,1692,284,3677,2732
"89","mmu-mir-28a_mature",0,0,0,918,1,242,1,404,0,0,1,0,0,0,0,2,1,0,1,2,0,44,1,15,1,3,2,3,1,125
"90","mmu-mir-296_mature",0,0,0,0,0,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313,645,29,78,1,0,0,93,128
"91","mmu-mir-29a_mature",209,443,95,3079,2149,12807,748,4,2398,281,663,101,250,4,3,750,3427,949,325,124,1,8587,19380,5227,3648,3801,5845,807,6102,7871
"92","mmu-mir-29b-1_mature",0,0,0,185,1,0,0,0,76,0,0,0,0,0,0,0,573,0,1,0,0,395,953,126,38,26,95,2,461,488
"93","mmu-mir-29b-2_mature",0,0,0,210,0,0,0,0,81,0,0,0,0,0,0,0,555,0,0,0,0,414,1022,125,38,27,88,0,480,454
"94","mmu-mir-3068_mature",0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316,448,28,4,31,58,0,3,388
"95","mmu-mir-30a_mature",2,3,0,2,232,994,253,2,802,698,510,1,284,1,1,117,6,1,2,2,7,3181,692,370,714,251,466,182,84,207
"96","mmu-mir-30b_mature",2,0,0,234,0,939,0,0,0,0,0,0,0,0,0,211,0,0,64,3,1,780,2285,691,583,76,644,2,762,789
"97","mmu-mir-30c-1_mature",1,1,0,257,223,15448,110,139,1448,1,277,150,232,2,1,491,700,3,126,11,104,1,10479,3001,3125,1474,2667,648,3243,2678
"98","mmu-mir-30c-2_mature",0,2,1,264,218,217,109,171,1461,1,254,160,248,2,2,479,697,0,135,1,103,4293,10317,2965,3231,1,2558,685,3247,2694
"99","mmu-mir-30d_mature",210,4,6,1253,1319,63325,261,9,4219,187,1578,10,719,3,641,1147,2953,8,639,49,998,3823,8119,4148,4225,3594,4811,1488,3953,4075
"100","mmu-mir-30e_mature",0,0,1,376,110,1011,58,2,1147,7,262,182,1,1,1,1,2,0,3,6,1,1075,2112,170,194,87,92,236,194,153
"101","mmu-mir-320_mature",246,2,287,1092,5529,29167,2509,8,16886,3,548,504,283,7,5,730,1959,8,1221,225,8,17234,30165,15878,7290,1431,6856,2581,9829,11932
"102","mmu-mir-322_mature",0,192,0,888,2,464,0,0,513,357,0,0,1,0,2,1,441,0,95,0,1,1598,1965,63,1,102,143,134,656,1155
"103","mmu-mir-326_mature",0,0,0,0,189,288,0,0,0,0,0,0,1,0,0,0,13,0,28,0,0,0,0,0,0,44,152,0,0,189
"104","mmu-mir-328_mature",8,0,1,2892,3794,5575,125,899,3826,175,221,378,2,3,188,6,3761,1,4005,6,3,8357,16751,7668,6761,1685,7252,832,5794,10404
"105","mmu-mir-330_mature",0,0,0,0,144,0,0,0,0,0,0,399,0,1,0,0,0,0,0,0,0,349,1,7,108,270,52,0,307,89
"106","mmu-mir-335_mature",0,0,2,503,1,366,117,0,66,1,0,0,0,0,0,740,449,0,1,2,1,276,615,651,799,1,2,149,606,145
"107","mmu-mir-339_mature",0,0,0,0,95,233,1,0,191,0,0,0,0,0,0,0,0,0,0,1,0,1,175,44,38,0,146,34,150,270
"108","mmu-mir-340_mature",240,0,0,1523,129,2797,2,0,1030,1,0,2,2,1,0,1,426,1,51,229,1,2656,4567,26,598,1,159,222,1554,1
"109","mmu-mir-342_mature",0,0,0,0,163,251,120,0,3,0,0,0,0,0,1,1,590,1,0,1,0,601,409,669,72,247,498,0,1,1273
"110","mmu-mir-351_mature",0,0,0,911,0,0,0,0,1,0,0,0,0,0,0,0,258,0,0,1,0,1,658,141,193,125,68,59,203,127
"111","mmu-mir-361_mature",0,0,0,0,0,364,121,0,292,0,0,0,0,0,1,0,0,0,0,1,0,4,1,1,2,1,3,2,79,290
"112","mmu-mir-374b_mature",0,0,0,0,0,115,0,0,105,0,0,0,0,0,0,0,0,0,85,1,0,143,533,192,323,0,285,0,71,139
"113","mmu-mir-375_mature",1,0,0,0,135,1404,0,1,185,150,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,120,84,0,118,262
"114","mmu-mir-378a_mature",1,1,0,231,2,142,125,3,0,0,2,0,0,2,1,0,1,0,47,435,1,0,0,0,0,467,0,0,0,0
"115","mmu-mir-379_mature",0,0,0,1,0,491,87,0,0,0,0,0,0,0,1,1,0,0,78,1,0,197,7,4,1,1,69,4,4,4
"116","mmu-mir-382_mature",0,1,0,0,166,136,122,0,205,0,0,579,0,0,0,0,0,0,0,0,0,3,7,2,78,2,1,1,3,3
"117","mmu-mir-409_mature",0,0,0,0,0,240,0,0,227,1,0,0,0,0,0,0,0,0,0,0,0,2,222,1,1,11,4,10,13,10
"118","mmu-mir-421_mature",0,0,0,0,0,93,0,270,140,0,0,0,0,0,0,0,0,0,0,0,0,423,267,128,123,221,194,0,457,434
"119","mmu-mir-423_mature",475,1,5,841,906,3046,246,1,562,95,949,2,1,1,353,13,269,7,151,4,7,945,1862,1277,1067,262,1167,101,1036,1303
"120","mmu-mir-425_mature",0,1,1,1170,422,2033,0,0,684,0,0,0,0,222,0,140,1,0,2,2,0,1005,6031,153,1023,913,61,4,72,2654
"121","mmu-mir-434_mature",1,0,0,0,147,109,1,0,684,93,0,0,0,0,0,1,172,0,2,1,0,314,906,297,959,0,0,0,229,330
"122","mmu-mir-451a_mature",639,1249,1241,27275,17676,67571,15086,5342,79470,5535,3204,2304,2405,738,526,5162,15497,720,2479,6575,34,261131,334327,239004,84951,39041,59497,18080,118342,135529
"123","mmu-mir-451a_stemloop",0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,240,564,388,275,0,0,0,334,138
"124","mmu-mir-455_mature",0,0,1,0,0,282,0,0,250,0,0,0,0,1,0,0,1,0,1,0,0,11,0,54,55,0,0,0,341,71
"125","mmu-mir-484_mature",405,4,0,593,1737,4502,242,0,3458,4,2,381,1,0,2,575,530,2,546,3,2,5298,9742,5336,4615,658,2593,86,4962,5325
"126","mmu-mir-485_mature",427,0,0,0,1,71,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,45,1,2,2,5,2
"127","mmu-mir-486a_mature",0,0,0,880,555,0,525,1,0,0,0,0,1,0,792,1,509,0,0,0,1,0,7125,0,1680,217,1029,94,0,0
"128","mmu-mir-494_mature",0,0,0,0,0,68,1,0,120,0,0,0,0,0,0,0,0,0,0,0,0,8,132,95,8,4,9,4,11,4
"129","mmu-mir-501_mature",0,0,0,0,0,0,116,0,346,0,0,0,0,0,0,0,0,0,60,0,0,161,1418,172,0,216,375,1,118,73
"130","mmu-mir-503_mature",0,0,0,1,0,0,0,0,87,0,0,0,0,0,372,0,0,0,75,0,1,165,538,359,156,445,283,0,475,705
"131","mmu-mir-5108_mature",0,0,0,0,0,422,130,348,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,43,0,0,78,55,0
"132","mmu-mir-5113_mature",0,0,0,0,0,24,244,0,438,0,1,0,0,0,0,1,0,0,25,0,0,82,1169,228,217,38,309,318,42,189
"133","mmu-mir-5126_mature",0,0,0,0,1,194,0,0,140,0,0,0,0,0,0,0,0,0,86,0,0,196,1,75,0,80,0,0,0,123
"134","mmu-mir-532_mature",0,0,0,0,88,625,0,0,0,0,0,0,0,0,0,451,0,0,0,1,0,1,738,119,102,0,10,5,255,12
"135","mmu-mir-541_mature",0,0,0,1,58,858,0,0,137,0,0,0,0,0,0,0,1,0,0,0,1,182,1,90,147,217,0,0,0,189
"136","mmu-mir-542_mature",1,0,0,0,126,465,0,0,0,118,0,1,0,0,0,0,0,0,0,0,0,0,369,0,61,101,0,1,50,0
"137","mmu-mir-543_mature",0,0,0,0,0,574,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,212,6,4,4,5,7,0,533,115
"138","mmu-mir-574_mature",0,0,0,0,0,2375,0,1,207,0,0,0,0,0,0,0,292,0,55,2,0,997,1339,844,477,419,1331,17,885,1067
"139","mmu-mir-6236_unannotated",942,74,418,1735,18756,13829,1179,728,1044,1000,999,767,511,505,73,1048,1919,8,11665,126,784,1009,3052,521,4541,1041,1838,1260,1683,1928
"140","mmu-mir-652_mature",0,0,0,2,77,221,0,0,0,0,0,0,1,0,0,0,559,0,0,1,0,273,1003,281,57,208,465,82,0,95
"141","mmu-mir-6538_mature",0,0,0,1,0,1064,0,0,0,154,0,0,0,0,0,0,0,0,0,0,0,11,465,0,43,0,0,0,102,452
"142","mmu-mir-664_mature",0,0,0,0,252,0,0,1,154,0,0,0,0,0,0,0,0,0,0,0,0,565,112,162,143,190,136,1,222,0
"143","mmu-mir-674_mature",0,0,0,179,152,1184,146,0,212,0,1,0,0,0,0,248,227,0,0,177,0,222,963,15,395,171,1115,150,617,157
"144","mmu-mir-744_mature",0,0,0,0,0,811,0,0,102,0,0,0,0,1,0,0,0,1,0,0,0,84,939,66,1,0,335,0,0,11
"145","mmu-mir-7a-1_mature",0,0,0,195,284,888,1,0,1007,257,2,0,86,0,0,0,1,84,43,1,0,1214,124,886,536,1,112,186,861,1073
"146","mmu-mir-7a-2_mature",1,0,0,184,285,872,0,0,1037,273,1,0,70,1,1,0,0,70,27,1,0,1216,2731,896,504,396,484,208,935,1
"147","mmu-mir-802_mature",0,0,0,0,0,1273,0,0,166,0,0,0,0,0,0,0,0,0,0,2,1,42,0,46,0,266,45,0,260,86
"148","mmu-mir-8114_mature",0,0,0,0,1,0,0,0,168,0,0,1,0,0,0,0,0,0,0,0,0,119,2230,432,0,339,55,289,62,286
"149","mmu-mir-92a-1_mature",649,18,189,16032,12135,113633,2040,739,59458,745,1114,1398,535,35,1707,1712,4815,14,2743,2003,474,46042,51040,50355,20706,7018,25574,5001,30275,30497
"150","mmu-mir-92a-2_mature",139,2,228,1769,1038,11596,594,433,7899,147,87,278,3,3,2,247,353,2,564,16,4,6117,16976,9017,3663,2248,2884,857,4116,4917
"151","mmu-mir-92b_mature",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,102,0,0,0,8,686,5,5,4,6,2,84,4
"152","mmu-mir-93_mature",0,2,1,781,820,7397,492,331,5511,3,279,1,539,1,1,140,478,0,185,3,1,1,173,198,4372,1,37,115,171,7180
"153","mmu-mir-98_mature",0,564,428,1351,335,2106,75,1,715,2,1,2,0,187,0,0,1,359,1,2,0,967,2708,1600,152,195,276,1,133,1147
"154","mmu-mir-99a_mature",2,2,2,1411,265,8455,681,1,2628,2,2,146,299,0,1,1,1238,1,4,6,3,5645,11193,3430,2633,1279,1423,442,1467,3013
"155","mmu-mir-99b_mature",0,183,105,931,253,11161,2,0,64,1,218,553,417,1,1,340,273,4,67,9,0,847,2,881,875,1,142,2,140,1273
